id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
1737,xD,최준혁,,2,4094,3,xD,,KR,T,-0.712149879882937,46,47,7286300,Choi Joon Hyuk
1115,XenoPhobe,,,2,3018,2,,,DK,Z,-0.928598986443099,50,51,7301172,
1336,Yeah,김민석,1982-02-18,2,867,3,,,KR,Z,-0.575432682395411,52,53,7287776,Kim Min Seok
18302,Yeri,,,2,,,,,KR,P,-1.58294161227119,28,29,7285388,
10633,Zero,Steve Lu,,2,,0,,,CA,T,-1.87152169419639,117,118,7296974,
1137,TorcH,Trevor Housten,,2,1645,3,,,US,T,-0.602369793161267,29,30,7289621,
4430,Tribax,,,2,,,,,NO,Z,-1.02426487571834,61,62,7301180,
2568,Trust,최성일,1995-04-12,1,4761,3,Trust,,KR,P,-0.766994318475045,149,150,7287918,Choi Sung Il
158,XlorD,Daniel Spenst,1991-09-27,1,1605,2,XlorD,102,DE,Z,-0.954090781845523,148,149,7302255,
160,XiGua,王磊,1987-01-14,1,2918,7,XiGua,329,CN,Z,-1.14760238050285,242,243,7284797,Wang Lei
4944,Exehn,Riccardo Malossi,,2,,,"",,IT,P,-1.96698320337016,213,214,7290082,""
5233,KinG,Tom-Andre Lærum,,2,,0,King,,NO,Z,-1.77995309362845,175,176,7297759,""
760,YHY,杨汉宇,,2,3031,3,,,CN,Z,-1.45259831093708,150,151,7298713,Yang Hanyu
2230,MaGiK,Tariq Patel,,2,4698,3,,,CA,P,-2.59579047968827,262,263,7288113,
3280,Regret,David Tran,,2,3054,2,,,US,Z,-0.889911237120315,49,50,7288891,
666,StyGGeN,Erik Christensen,,2,1742,2,,,NO,Z,-1.03574580815529,90,91,7296830,
1002,Tendoi,Antoniu Flaviu Alb,,2,,0,,,RO,T,-1.01005936210386,27,28,7289851,
5209,Webby,,,3,,,,,UK,Z,-1.33642394166978,63,64,7287872,
12335,xSarq,,,3,,,"",,CH,Z,-1.5679239990353,26,27,7289122,
2017,Spooky,유부영,,3,,0,,,KR,Z,-0.62648525248327,25,26,7292790,Yoo Boo Young
5979,sprEEEzy,,,3,,,,,HR,Z,-1.20415253331617,64,65,7299507,
6094,Zenabi,Jordan Fighera,,3,,0,,,AU,Z,-1.66498181125209,108,109,7300440,
5431,Tulimeri,Petteri Oinonen,,3,,0,,,FI,T,-1.08761047390936,45,46,7290713,
3923,Xlancer,Joseph Sneddon,,3,4493,2,,,US,P,-0.900837415789989,54,55,7300992,
13269,Yokai,"",,3,,,"",,,Z,-1.41216308848057,27,28,7293008,""
13260,SolusRex,Jakub Kolda,,4,,,"",,CZ,Z,-1.93092354076658,99,100,7286344,""
7766,Metric,,,4,,,,,AU,Z,-0.636266505702312,28,29,7288331,
52,VortiX,Juan Moreno Duran,1993-09-10,1,2634,2,VortiX,305,ES,Z,-0.685941020561854,219,220,7299287,""
163,Socke,Giacomo Thüs,1987-02-02,1,1460,2,Socke,87,DE,P,-1.20061475081302,201,202,7302352,
174,ToD,Yoan Merlo,1985-03-20,1,2171,3,ToD,320,FR,P,-1.23709798125487,183,184,7300677,
177,Trap,조성호,1994-03-24,1,618,1,Trap,,KR,P,0.01393152532897093,105,107,7284870,Cho Sung Ho
340,Sparta,황의진,,1,4097,3,Sparta,,KR,T,-0.819452776659164,50,51,7300573,Hwang Wi Jin
1836,Mariano,,,2,,,,,KR,T,-0.706506577502728,54,55,7288509,
1862,RevolKwakInGu,,,2,,,,,KR,T,-0.496315430755687,28,29,7299729,
1860,RunInSquares,,,2,,,,,KR,T,-0.539105993079289,28,29,7299920,
1679,Siphonn,Kevin Bentz,1994-12-09,2,3302,2,Siphonn,,US,P,-1.92729896308864,273,274,7284609,
19215,Meb,,,,,,,,,T,-1.85915122766696,34,35,7287319,
14437,Voltacus,James Flint,,2,,0,User:Voltacus,,UK,T,-2.12825593740507,101,102,7283726,
8427,Wanted,陈思成,,2,,0,,,CN,Z,-1.78359359879307,152,153,7299331,Chen Sicheng
13691,Wilo,Will Aesoph,,2,,0,"",,CA,Z,-1.98478012417473,120,121,7301447,""
249,XY,向瑶,1987-05-14,2,4143,3,XY,487,CN,T,-1.36037121683619,253,254,7285036,Xiang Yao
357,YaTa,Jason Hoang,,2,4126,2,,,US,P,-0.836398513893641,36,37,7291092,
1014,Zendo,,,2,,,,,NO,Z,-0.95324349632862,27,28,7302776,
9025,Ziggy,Szymon Filipek,,2,,0,"",,PL,T,-1.29608706261601,151,152,7284918,""
8299,Ziroy,Lucas Zierold,,2,,0,,,UK,T,-1.71965246987874,122,123,7300420,
630,Znow,Victor Armblad,,2,3015,2,Znow,,SE,T,-0.947506566169626,67,68,7287895,
13400,Meditail,,,,,,,,DE,Z,-1.97814521606027,121,122,7290618,
12482,MediumM,"",,,,,"",,NO,P,-1.72124819512916,88,89,7288055,""
12234,Medoed,,,,,0,,,RU,Z,-1.84838591698921,122,123,7285344,
5729,medulin,,,,,,,,CZ,Z,-0.909659445924084,30,31,7289459,
21486,MeThOd,,,,,,,,,P,-1.9284356817262,26,27,7284387,
1062,more,Tobias Betschka,,,,0,,,DE,Z,-1.41360065149777,98,99,7288239,
19704,Mosckvin,,,,,0,,,BR,T,-1.84847455374932,25,26,7289694,
6447,MrDING,Ding Da Wei,,,,0,,,CA,Z,-0.871586411381556,29,30,7297065,
16609,Redfactor,"",,,,,"",,,P,-1.73336985960211,28,29,7294020,""
20592,redflash,,,,,,,,BG,Z,-2.10249880083744,26,27,7296013,
10860,Shadow,"",,,,,"",,US,P,-1.30634116207628,26,27,7288438,""
14711,TymonTT,"",,,,,"",,PL,P,-1.98568050445556,78,79,7291085,""
11584,tyoutugai,,,,,,,,JP,P,-1.42612159443928,36,37,7299469,
5635,Shana,王雨伦,1997-07-08,2,6213,4,Shana,,CN,T,-1.34301658484262,148,149,7291860,Wang Yulun
1760,Shark,이수형,,2,,,Shark,,KR,P,-0.855705633663834,40,41,7300490,Lee Soo Hyeong
2577,Vical,김선묵,,2,85,1,,,KR,P,,25,26,7285750,Kim Sun Mook
4182,WaKa,Carlos Pérez Arenas,1994-07-25,2,5749,4,WaKa,,ES,Z,-1.70266612462685,203,204,7288984,
1295,WannaBe,Jack Jung-Ho Hwang,,2,3337,3,,,CA,T,-1.05449166017085,57,58,7293212,
1019,Wanty,Alexandr Ambróz,,2,,,"",,CZ,T,-1.53081945655621,117,118,7293180,
1043,Traveller,Fredrik Söderström,,2,4610,2,,,SE,Z,-0.9590929747451,33,34,7291522,
1732,Troumen,나도현,1983-09-08,2,,0,,,KR,T,-0.28524592466225,28,29,7293214,Na Doh Hyun
716,Utopi,Jens Jæger,,2,3019,2,,,DK,P,-1.36068868142365,134,135,7286007,
3529,Val,Валентин Кузнецов,,2,3807,2,,,UA,T,-1.07048992659889,103,104,7297217,Valentyn Kuznetsov
2026,Shark,,,2,,,,,KR,T,-0.658607316794224,28,29,7287659,
1162,Zlex,Anders Lauritsen,,2,,0,,,DK,T,-1.84492455455674,185,186,7288051,
2135,Slurgi,Scott Penick,,2,2360,3,,,US,S,-0.751317319367242,41,42,7299222,
12959,Ricus,,,3,,0,,,FR,T,-1.64482710140411,63,64,7285333,
6964,Trulz,"",,3,,,"",,SE,P,-1.13899602070254,34,35,7287647,
1808,Focus,Frederick Rivera,,3,3700,3,,,US,T,-0.943255951271251,52,53,7291556,
8613,DarK,Bruno Barrios,,2,,0,"",,BO,Z,-1.70900057050074,236,237,7287208,""
14093,EF,谢蔚科,,2,,0,Apologize,,CN,Z,-1.68668415687623,45,46,7284778,Xie Weike
583,jEcho,Joseph Lopez,,2,3509,2,jEcho,358,CA,Z,-0.819448975156259,39,40,7295007,
1820,sanddbox,Ryan Kemper,,2,4428,3,"",,US,Z,-0.946577933736156,68,69,7302421,
522,Tripal,Joni Korpelin,,2,2380,2,,,FI,P,-0.624226679006875,33,34,7285846,
706,uzer,Grzergorz Muśko,,2,4110,2,"",,PL,Z,-1.143247633111,110,111,7294723,
3769,duckyr,,,2,4217,2,,,US,Z,-0.801375880901772,28,29,7298557,
7976,Poxon,,,2,,,"",,RS,P,-1.72046923679689,145,146,7287299,
3404,PwnergizerBunny,,,2,3296,2,,,US,P,-0.644661860645211,28,29,7302717,
16910,SUPreme,,,2,,0,,,KR,R,-1.59949777131836,27,28,7293201,
19280,Surrendipity,,,2,,,,,AU,P,-1.86614839333244,25,26,7298365,
4496,rebOrn,Arthur Lee,1994-02-15,2,,0,,,ID,Z,-1.18044459733327,86,87,7290152,
4079,Rotcod,Jake Forsey,,2,4848,2,,,UK,P,-1.32327403975016,149,150,7294688,
2773,SenSei,Andrew Carmichael,,2,2801,3,,,AU,P,-1.15235379515305,148,149,7301732,
2282,Ease,,,3,,,,,SG,T,-0.956657967085725,30,31,7288884,
1170,ParkJongHyuk,박종혁,1992-02-20,2,1975,3,,277,KR,T,-0.421810247304148,29,30,7297986,Park Jong Hyuk
3966,Trolldom,,,2,4557,2,,,NO,Z,-0.886051954705482,25,26,7291396,
709,ZyM,Michael Poli,1995-02-17,2,4151,2,ZyM,,IT,Z,-0.92250871020385,52,53,7293200,
1854,karmaRPM,,,3,,,,,KR,T,-0.552448750980196,28,29,7301244,
8429,Kriminal,BJ Mendoza,,3,,,"",,US,T,-1.57541557686506,83,84,7296713,""
6963,名字想不到的狼,,,3,,,"",,TW,T,-1.21221947306192,39,40,7293240,Hsiang Chuhung
10265,Poucky,Vincent Fayard,,3,,0,,,FR,Z,-1.7494738493925,124,125,7295332,
5023,SRoon,,,3,,,,,KR,P,-0.716862735338723,28,29,7292294,
12132,Tingles,,,3,,,,,UK,P,-1.5464743637211,26,27,7300302,
3227,HerpDerp,,,3,3139,2,,,US,P,-0.594224435621771,28,29,7285250,
9563,WeryNg,,,3,,,"",,AU,P,-0.670046889727412,28,29,7302829,
13649,Griffith,,,3,,,,,,Z,-1.53294999679064,26,27,7295655,
13483,Grim,"",,3,,,"",,AU,S,-1.49856827305138,26,27,7296016,""
8,viOLet,김동환,1990-12-05,1,2626,3,viOLet,144,KR,Z,0.07400559084038293,75,84,7299243,Kim Dong Hwan
62,Shine,"",1994-11-27,1,2331,3,Shine,,KR,Z,-0.779240733254755,97,98,7297159,Choi Kyung Min
88,sLivko,Артём Гаравцов,1989-08-27,1,2579,2,sLivko,380,RU,Z,-1.3624694034479,214,215,7299351,Artem Garavtsov
133,Sound,배상환,1993-12-24,1,1978,3,Sound,194,KR,T,-0.715535720060879,47,48,7296055,Bae Sang Hwan
761,Ezrc,张润超,,2,2764,2,Ezrc,,CN,Z,-1.62040224788574,235,236,7294620,Zhang Runchao
3700,Prabuty,Tomek Pyka,,2,4036,2,"",,PL,P,-1.70982806211943,170,171,7301199,
17063,Prospect,,,2,,0,,,NL,T,-2.68958732369234,79,80,7301663,
1256,Winsti,,,2,4781,2,,,FI,Z,-0.968766386030913,47,48,7293855,
10025,WoodedMicrob,Richard Häyrinen,,2,,0,,,FI,T,-1.71998985364664,60,61,7284716,
10058,ZergGirl,Kathy Shin,,2,,0,"",,US,Z,-1.89485132162589,169,170,7291321,""
12488,Voguel,,,,,,,,CL,Z,-1.56852406272485,59,60,7285859,
8255,Zerghamdi,Berkay Erbaş,,2,,0,"",,TR,Z,-1.49985243547922,133,134,7299449,""
8471,Carl,Tom Carpenter,,2,,0,,,US,P,,25,26,7299090,
4694,Torecito,,,2,,,,,NL,Z,-0.561034128859224,28,29,7292124,
16309,生姜,,,2,,0,,,CN,Z,-1.89709360551555,68,69,7285492,
4238,FuNcKy,Braulio Escudero Whu Olivera,,2,,,,,PE,P,-0.725102871570051,25,26,7294739,
16526,Torero,,,3,,,,,RU,P,-1.72801234814788,28,29,7293389,
17725,Totrasmek,,,3,,,,,AU,T,-1.80305540424337,26,27,7302375,
9857,Valkyrie,,,3,,0,,,IE,Z,-1.23606530917346,29,30,7296849,
11791,WhiskeyJack,,,3,,0,,,BG,P,-2.04798709085358,139,140,7293524,Karim Hlaif
5972,Zixma,,,3,,0,,,TH,Z,-1.05165239772291,59,60,7293164,
5425,Zizzo,,,3,,,,,SE,P,-0.77780752608547,28,29,7288851,
18150,张家良,,,3,,,,,CN,P,-1.83871170176065,28,29,7294122,
2702,JiYan,Jordan Lee,,3,2202,3,"",,US,P,-0.637885652145319,39,40,7290665,
3203,Jjajan,Sean Kelliher,,3,3131,2,"",,US,T,-1.47754581831123,184,185,7292127,
1583,jjonga,김종화,1988-04-02,3,547,1,,,KR,P,,25,26,7299520,Kim Jong Hwa
4252,UsEnterprise,,,4,,,,,MX,T,-0.921065884825725,28,29,7292085,
575,uThermal,Marc Schlappi,1995-11-10,1,3250,2,uThermal,455,NL,T,-0.904311383958091,67,68,7297005,""
116,SuHoSin,김수호,1988-07-09,1,569,3,SuHoSin,212,KR,Z,-0.72088372179497,96,97,7295263,Kim Soo Ho
4582,Akke,Akseli Hosia,,2,,0,,,FI,T,-1.23992795413911,69,70,7290114,
215,Arthur,윤명혁,,2,3837,3,Arthur,,KR,P,-1.10877579324836,208,209,7296317,Yoon Myung Hyuk
933,rare,이상준,,2,3217,1,rare,,KR,Z,-0.864959747290754,72,73,7300227,Lee Sang Joon
18296,SnipeR,,,2,,,,,KR,R,-1.58354387999069,28,29,7297135,
478,SocceR,윤덕만,1988-02-12,2,2681,3,"",340,KR,P,-0.638378470947147,67,68,7298362,Yoon Deok Man
4735,SpeeD,박근일,1996-06-27,2,,0,,,KR,T,-1.1577403998326,210,211,7300507,Park Kun Il
962,ZhuGeLiang,戴文磊,1994-09-14,2,2562,2,ZhuGeLiang,,FI,Z,-1.22062598537803,126,127,7284818,Dai Wenlei
2063,SpruceGoose,John Schroeder,,2,,0,,,US,P,,25,26,7287663,
1811,Thorminator,Thor Bagge,,2,,,"",,DK,Z,-1.30416360173253,104,105,7289911,""
1320,ThuocLao,Lê Thanh Hà,,2,,0,,,VN,P,-1.75330190750451,173,174,7284696,Le Thanh Ha
917,TisH,Dragoş Teodorescu,,2,4185,2,,,RO,P,-1.1779966515135,91,92,7289759,
4601,Pork,,,2,,,,,AU,P,-0.890240260354907,38,39,7301479,
12091,Shino,Maxime Hego,,2,,0,,,FR,Z,-1.38369585400677,38,39,7296980,
8558,Shiro,"",,2,,,"",,CN,Z,-1.89769910603573,65,66,7301796,""
8265,SmoNKa,,,2,,,,,ES,P,-1.2865917824727,52,53,7301751,
13472,SithShadow,,,3,,,"",,AU,Z,-1.40114473429941,26,27,7288530,
5823,SpiriT,Alexandru Claudiu Rus,,2,,,"",,RO,T,-1.05889586280728,45,46,7292115,
15788,Puchacz,,,,,,,,PL,T,-1.67099675747842,28,29,7297769,
1877,TaeYon,,,2,,,,,KR,T,-0.542801587353673,28,29,7295759,
20008,puchO,,,,,0,,,PE,T,-1.94767833310692,29,30,7285018,
2880,puckelrygg,,,,2280,3,,,,T,,25,26,7293004,
61,Sleep,김성한,1992-09-16,2,2086,3,Sleep,189,KR,Z,-1.04499513343261,177,178,7302550,Kim Seong Han
413,Uhen,罗岩,,2,2771,3,Uhen,348,CN,Z,-1.00168630823774,100,101,7286208,Luo Yan
8222,SpellSinger,Пётр Умников,,3,,,"",,RU,P,-1.49945570928704,185,186,7284714,Petr Umnikov
10181,starkiller,John Puchalski,,3,,0,"",,US,Z,-1.48106267425754,56,57,7284830,""
4756,TebO,Teo Borgia,,3,,,"",,SE,P,-0.89551545339506,28,29,7289371,
7894,Splatterpope,,,3,,,,,AU,Z,-0.903554025964605,34,35,7285888,
5167,sPlico,,,3,,,,,HR,P,-2.10556362778705,230,231,7289401,
10277,milkbarf,,,3,,0,,,US,T,-0.700148231326924,27,28,7298943,
1585,RenieHouR,이정환,1993-05-29,3,1889,1,"",,KR,P,-0.585184584112587,44,45,7287436,Jung Hwan Lee
3341,ReseT,Joey Tajzai,,3,3668,2,,,US,P,-0.857113455125369,55,56,7286336,
19513,Revotus,,,3,,,,,FI,T,-1.96841621482103,40,41,7293913,
19420,RexRequired,,,3,,,,,US,T,-1.83318535480532,28,29,7302510,
8431,Rhirhi,,,3,,,,,UK,Z,-1.17841073260317,27,28,7295715,
16815,Ziper,,,3,,,,,BR,P,-1.76966493171547,27,28,7287124,
236,TheBest,김찬민,1991-04-05,2,2097,3,TheBest,235,KR,T,-0.786572445840192,96,97,7288041,Kim Chan Min
822,WiseEye,Eric Saive,,2,3538,2,"",,NL,T,-0.95734386450594,49,50,7289799,
285,XluoS,宋迎,1990-02-20,2,2960,3,XluoS,488,CN,P,-0.969425802770299,51,52,7285685,Song Ying
3545,Syc,苏友超,,2,3640,2,,,CN,P,-1.03171442150708,84,85,7301373,Su Youchao
14785,风间琉璃,,,2,,,,,CN,T,-1.78671141652513,30,31,7288753,
2122,Dark,Edgar Cauich Chuc,,3,,,"",,MX,Z,-1.2246969389715,109,110,7290373,
1890,YongSung,,,3,3875,3,,,KR,Z,-0.545435574312456,37,38,7302797,
7932,Zinho,Matheus Saldanha,,3,,0,"",,BR,P,-1.7452706329361,99,100,7284697,""
9715,Pop,,,3,,0,,,CA,Z,-1.26773047985397,27,28,7296910,
12,Bomber,최지성,1988-01-16,1,561,3,Bomber,197,KR,T,0.29180730781353154,32,43,7284919,Choi Ji Sung
255,Mentalist,김충인,1990-02-12,2,2843,3,"",,KR,P,-1.16336786777716,161,162,7301104,Kim Choong In
8437,Mercadia,Grant Yamulla,,2,,0,,,US,T,,25,26,7298470,
2042,Mercury,"",,2,,,Mercury,,KR,T,-0.766694630684859,34,35,7288513,
540,sync,변길섭,1984-01-10,2,23,1,,,KR,T,-0.310104355422499,25,26,7302914,Byun Gil Sup
374,ValuE,김용진,1994-10-04,2,2103,3,Cyrano,,KR,P,-0.700631022486696,65,66,7289519,Kim Yong Jin
5445,Phoenix,Lachlan Leslie,,2,,4,,,AU,Z,-2.25118692569419,227,228,7283727,
5750,Pobbes,Paolo Poblador,,2,,,"",,PH,P,-1.14979078109487,76,77,7297374,
2016,miracle,김재혁,,3,,0,,,KR,T,-0.826806634562542,55,56,7294594,Kim Jae Hyuk
10023,MisterWinter,Olivier Blanvillain,,3,,0,,,CH,P,-0.847200241351505,26,27,7295297,
12080,Shadonja,,,3,,,,,US,P,-1.4418873678277,34,35,7291360,
708,Shibbxyz,Matthew Hunt,,3,4267,2,,,UK,Z,-0.803344635333911,73,74,7296254,
9830,Octomologyst,,,3,,0,,,US,T,-1.92603456149226,151,152,7292021,
8444,TheJacobian,Jacob Calder,,3,,0,,,US,P,,25,26,7288959,
1988,THX,,,3,,,,,KR,P,-0.63090704200361,25,26,7300728,
1343,TetrisAttack,Luis Daniel Chavarria,,5,,0,,,CO,P,-0.920693852562456,28,29,7299419,
10276,TheFlock,,,5,,0,,,US,T,-0.740768022397012,27,28,7286039,
11730,Voice,,,,,,,,BR,Z,-1.32140728494433,28,29,7287210,
7503,Volition,,,,,,,,AU,T,-0.815838425041914,25,26,7287790,
17,Squirtle,박현우,1992-07-06,1,969,3,Squirtle,196,KR,P,-1.36292658501761,267,268,7301559,Park Hyun Woo
159,Seiplo,John Seipel,,1,1810,2,Seiplo,254,SE,P,-1.08017625270795,148,149,7294481,
172,Strelok,Євген Опаришев,1985-05-25,1,1152,2,Strelok,224,UA,T,-1.35858935353414,257,258,7293833,Evhen Oparyshev
477,PoYo,Tom Brekelmans,1990-12-04,1,3524,2,PoYo,524,NL,T,-0.889472803658351,101,102,7298438,
1301,PenguiN,남윤석,1996-03-12,1,4794,1,PenguiN,,KR,Z,-0.996405665960977,189,190,7288208,Nam Yoon Suk
1497,Odin,송영민,1987-09-23,1,1964,1,Odin,,KR,T,-0.34219507094379,27,28,7286015,Song Young Min
10659,Rave,김현동,,2,,0,,,KR,Z,-1.2104509012546,51,52,7286380,Kim Hyun Dong
3557,RemarK,Matthew Kramer,,2,3576,2,"",,US,P,-1.00577994471054,82,83,7288187,
5059,Revolution,Matthew Duff,1996-01-21,2,,,"",,UK,Z,-1.79611024375252,225,226,7284451,""
9899,Rom,Romain Congos,,2,,0,,,FR,P,-1.56931219132673,92,93,7284751,
2608,SaSin,박준태,,2,3844,3,,,KR,T,-0.711386487509606,75,76,7290507,Park Joon Tae
10261,SbR,Cyril Demange,,2,,0,,,FR,Z,-1.54183998167588,56,57,7302285,
9990,Seither,Sheldon Barrow,,2,,0,,,AU,T,-1.14587003539357,28,29,7284936,
1522,KingCN,徐浩南,,2,3035,2,,,CN,T,-1.06655348300447,75,76,7300579,Xu Haonan
64,Sting,주훈,,2,3817,3,Sting,408,KR,T,-1.04454133580158,183,184,7298899,Joo Hoon
239,Stork,송병구,1988-08-04,2,59,1,Stork,,KR,P,-0.745722368140857,103,104,7298448,Song Byung Goo
1817,Storm,Morten Storm,,2,,,"",,DK,Z,-1.96392639802821,185,186,7292091,
1171,Strange,Алексей Соляков,,2,3284,2,,,RU,P,-1.20509634548104,110,111,7296981,Alexey Solyakov
468,StrifeCro,Cong Shu,,2,2075,2,"",38,US,Z,-0.777508723198899,49,50,7302668,
867,StrinterN,Dennis Christensen,1993-01-04,2,2385,2,"",,DK,P,-1.22216258327693,133,134,7295517,
9869,VIP,,,2,,,,,KR,P,-1.04179367280111,28,29,7296237,
9741,WakeUp,김한빈,,2,,0,,,KR,T,-1.15217344885073,36,37,7290962,
336,White,Степан Еричук,1989-01-12,2,1760,2,White,431,UA,Z,-1.23905950480427,134,135,7285848,Stepan Yerichuk
2074,GutsThevillain,Will Moreno,,2,,0,,,US,T,,25,26,7295501,
42,Heart,김민혁,1990-11-16,1,656,3,Heart,421,KR,T,-0.560374808606938,152,153,7292921,Kim Min Hyuk
105,Super,서성민,1994-05-01,1,2319,3,Vampire,555,KR,P,-0.961281301474126,233,234,7301554,Seo Sung Min
1084,Slapstick,,,2,,,,,AT,P,-0.998629852044651,27,28,7300786,
586,STX,Caleb Richards,,2,2203,2,,390,US,T,-0.830128066371672,72,73,7298916,
467,Super,张明璐,,2,1249,2,Super,79,CN,P,-1.00399252887309,96,97,7287906,Zhang Minglu
107,Suppy,Conan Liu,1993-03-05,2,2593,2,Suppy,310,US,Z,-1.07754280898969,244,245,7298734,""
622,Sushi,Lennart Roest,,2,1868,2,,,NL,Z,-1.07162232576644,84,85,7299774,
113,Swagger,신상호,1990-02-09,2,106,3,Killer_(Korean_player),205,KR,P,-0.73830480221663,117,118,7296559,Shin Sang Ho
701,Titan,Tristan Johnson,,2,2667,2,,,US,Z,-1.28277498316515,157,158,7291207,
624,TopClass,정방민,1992-02-10,2,2184,3,,242,KR,P,-0.883568718499403,65,66,7294418,Jung Bang Min
84,TREME,박준성,,2,3601,3,TREME,,KR,P,-1.19813829777667,147,148,7293858,Park Joon Sung
422,TRUE,방태수,1992-04-15,2,,0,TRUE,,KR,Z,-0.856094512957739,229,230,7284938,Bang Tae Soo
5092,Vivid,Vincent Ngo,,2,,0,"",,AU,Z,-1.90445522283095,186,187,7284458,""
11748,SperO,,,2,,,,,KR,Z,-1.15749017184827,28,29,7297795,
2232,UpATree,Salvatore Damore,,2,4873,3,"",,CA,T,-2.14296789602837,231,232,7284226,""
8169,Vindicta,Miguel Marmolejo,,2,,0,"",,US,T,-1.48826943079013,112,113,7284917,""
5503,Wanji,,,2,,,,,SE,T,-1.5755566115524,78,79,7285372,
